booking_id,lesson_id,student_id,venue_id,start_datetime,end_datetime,status,lock_level
book_4001-1,4001-1,4001,gym_a,2026-05-04T20:00:00,2026-05-04T21:00:00,draft,1
book_4001-2,4001-2,4001,gym_a,2026-05-04T20:00:00,2026-05-04T21:00:00,draft,1
book_4002-1,4002-1,4002,gym_a,2026-05-04T20:00:00,2026-05-04T21:00:00,draft,1
book_4003-1,4003-1,4003,gym_a,2026-05-05T20:00:00,2026-05-05T21:00:00,draft,1
book_4003-2,4003-2,4003,gym_a,2026-05-05T20:00:00,2026-05-05T21:00:00,draft,1
book_4004-1,4004-1,4004,gym_a,2026-05-05T20:00:00,2026-05-05T21:00:00,draft,1
book_4005-1,4005-1,4005,gym_a,2026-05-06T19:00:00,2026-05-06T20:00:00,draft,1
book_4005-2,4005-2,4005,gym_a,2026-05-06T19:00:00,2026-05-06T20:00:00,draft,1
book_4006-1,4006-1,4006,gym_a,2026-05-06T19:00:00,2026-05-06T20:00:00,draft,1
book_4007-1,4007-1,4007,gym_a,2026-05-08T20:00:00,2026-05-08T21:00:00,draft,1
book_4007-2,4007-2,4007,gym_a,2026-05-08T20:00:00,2026-05-08T21:00:00,draft,1
book_4008-1,4008-1,4008,gym_a,2026-05-08T20:00:00,2026-05-08T21:00:00,draft,1
book_4009-1,4009-1,4009,gym_a,2026-05-04T21:00:00,2026-05-04T22:00:00,draft,1
book_4009-2,4009-2,4009,gym_a,2026-05-04T21:00:00,2026-05-04T22:00:00,draft,1
book_4010-1,4010-1,4010,gym_a,2026-05-07T08:30:00,2026-05-07T09:30:00,draft,1
book_4011-1,4011-1,4011,gym_a,2026-05-05T19:00:00,2026-05-05T20:00:00,draft,1
book_4011-2,4011-2,4011,gym_a,2026-05-05T19:00:00,2026-05-05T20:00:00,draft,1
book_4012-1,4012-1,4012,gym_a,2026-05-05T19:00:00,2026-05-05T20:00:00,draft,1
book_4013-1,4013-1,4013,gym_b,2026-05-07T19:30:00,2026-05-07T20:30:00,draft,1
book_4013-2,4013-2,4013,gym_b,2026-05-07T19:30:00,2026-05-07T20:30:00,draft,1
book_4014-1,4014-1,4014,gym_b,2026-05-07T19:30:00,2026-05-07T20:30:00,draft,1
book_4017-1,4017-1,4017,gym_a,2026-05-05T12:30:00,2026-05-05T13:30:00,draft,1
book_4018-1,4018-1,4018,gym_a,2026-05-04T10:00:00,2026-05-04T11:00:00,draft,1
book_4019-1,4019-1,4019,gym_a,2026-05-04T13:30:00,2026-05-04T14:30:00,draft,1
book_4020-1,4020-1,4020,gym_a,2026-05-08T21:00:00,2026-05-08T22:00:00,draft,1
book_4021-1,4021-1,4021,gym_a,2026-05-04T15:30:00,2026-05-04T16:30:00,draft,1
book_4022-1,4022-1,4022,gym_a,2026-05-06T17:00:00,2026-05-06T18:00:00,draft,1
book_4023-1,4023-1,4023,gym_a,2026-05-07T12:30:00,2026-05-07T13:30:00,draft,1
book_4025-1,4025-1,4025,gym_a,2026-05-06T18:00:00,2026-05-06T19:00:00,draft,1
book_4026-1,4026-1,4026,gym_a,2026-05-08T19:00:00,2026-05-08T20:00:00,draft,1
book_4027-1,4027-1,4027,gym_a,2026-05-04T19:00:00,2026-05-04T20:00:00,draft,1
book_4027-2,4027-2,4027,gym_a,2026-05-06T20:00:00,2026-05-06T21:00:00,draft,1
book_4029-1,4029-1,4029,gym_a,2026-05-04T18:00:00,2026-05-04T19:00:00,draft,1
book_4030-1,4030-1,4030,gym_a,2026-05-05T10:00:00,2026-05-05T11:00:00,draft,1
book_4030-2,4030-2,4030,gym_a,2026-05-05T11:00:00,2026-05-05T12:00:00,draft,1
book_4031-1,4031-1,4031,gym_a,2026-05-05T13:30:00,2026-05-05T14:30:00,draft,1
book_4032-1,4032-1,4032,gym_a,2026-05-08T18:00:00,2026-05-08T19:00:00,draft,1
book_4034-1,4034-1,4034,gym_a,2026-05-05T18:00:00,2026-05-05T19:00:00,draft,1
book_4035-1,4035-1,4035,gym_b,2026-05-08T11:00:00,2026-05-08T12:00:00,draft,1
book_4036-1,4036-1,4036,gym_b,2026-05-07T13:30:00,2026-05-07T14:30:00,draft,1
book_4037-1,4037-1,4037,gym_b,2026-05-07T14:30:00,2026-05-07T15:30:00,draft,1
book_4039-1,4039-1,4039,gym_b,2026-05-07T20:30:00,2026-05-07T21:30:00,draft,1
